iter	Passed	Remaining
552	19107	49996
553	19144	49968
554	19180	49939
555	19217	49909
556	19254	49882
557	19288	49846
558	19322	49809
559	19365	49797
560	19402	49768
561	19440	49742
562	19477	49713
563	19517	49693
564	19554	49664
565	19586	49624
566	19619	49583
567	19651	49544
568	19691	49524
569	19701	49426
570	19750	49427
571	19786	49397
572	19834	49397
573	19877	49381
574	19911	49345
575	19949	49318
576	19988	49294
577	20023	49261
578	20063	49240
579	20106	49225
580	20142	49195
581	20181	49169
582	20192	49077
583	20230	49052
584	20277	49046
585	20315	49021
586	20350	48987
587	20388	48959
588	20515	49145
589	20525	49052
590	20555	49005
591	20586	48961
592	20620	48926
593	20658	48897
594	20690	48856
595	20729	48832
596	20760	48789
597	20801	48768
598	20837	48736
599	20875	48708
600	20906	48666
601	20939	48626
602	20972	48588
603	21006	48552
604	21040	48514
605	21079	48489
606	21120	48468
607	21151	48426
608	21183	48384
609	21216	48345
610	21246	48299
611	21284	48273
612	21319	48237
613	21357	48210
614	21392	48177
615	21434	48157
616	21465	48115
617	21500	48081
618	21531	48037
619	21567	48005
620	21600	47966
621	21636	47933
622	21671	47899
623	21701	47854
624	21739	47827
625	21772	47787
626	21809	47758
627	21842	47720
628	21878	47687
629	21912	47650
630	21949	47620
631	21984	47586
632	22017	47548
633	22054	47518
634	22067	47435
635	22097	47392
636	22130	47352
637	22166	47319
638	22202	47288
639	22212	47201
640	22225	47121
641	22260	47086
642	22281	47023
643	22312	46981
644	22346	46945
645	22382	46913
646	22415	46874
647	22458	46858
648	22495	46827
649	22529	46791
650	22563	46756
651	22597	46720
652	22630	46681
653	22670	46658
654	22726	46667
655	22775	46662
656	22817	46642
657	22853	46610
658	22888	46575
659	22897	46489
660	22932	46455
661	22958	46402
662	22993	46367
663	23004	46285
664	23042	46257
665	23078	46226
666	23088	46143
667	23129	46120
668	23166	46091
669	23201	46055
670	23240	46030
671	23277	46000
672	23293	45929
673	23327	45894
674	23363	45861
675	23398	45828
676	23408	45745
677	23441	45707
678	23475	45672
679	23510	45637
680	23539	45592
681	23549	45511
682	23584	45476
683	23618	45441
684	23654	45408
685	23683	45364
686	23714	45322
687	23747	45284
688	23781	45250
689	23816	45216
690	23852	45184
691	23891	45159
692	23928	45128
693	23964	45096
694	23997	45060
695	24033	45028
696	24069	44995
697	24102	44958
698	24110	44874
699	24141	44833
700	24173	44795
701	24208	44761
702	24232	44707
703	24264	44669
704	24299	44634
705	24335	44603
706	24368	44566
707	24398	44523
708	24433	44489
709	24476	44471
710	24516	44446
711	24551	44413
712	24586	44380
713	24628	44359
714	24638	44279
715	24668	44238
716	24706	44209
717	24743	44179
718	24780	44149
719	24795	44081
720	24830	44046
721	24840	43969
722	24880	43945
723	24918	43916
724	24959	43894
725	24992	43857
726	25024	43818
727	25059	43785
728	25092	43748
729	25132	43722
730	25165	43686
731	25203	43657
732	25237	43622
733	25275	43594
734	25316	43572
735	25351	43537
736	25381	43495
737	25412	43455
738	25444	43417
739	25501	43421
740	25541	43397
741	25577	43365
742	25617	43339
743	25650	43303
744	25682	43263
745	25717	43230
746	25757	43205
747	25815	43209
748	25854	43183
749	25871	43118
750	25908	43088
751	25947	43061
752	25982	43028
753	26022	43002
754	26055	42966
755	26084	42921
756	26109	42871
757	26147	42843
758	26183	42811
759	26215	42772
760	26250	42738
761	26286	42706
762	26320	42670
763	26352	42632
764	26386	42597
765	26424	42568
766	26467	42547
767	26499	42510
768	26540	42485
769	26577	42454
770	26611	42420
771	26648	42388
772	26665	42326
773	26715	42317
774	26757	42293
775	26791	42258
776	26822	42218
777	26859	42188
778	26898	42161
779	26931	42124
780	26971	42098
781	27008	42067
782	27040	42028
783	27076	41996
784	27112	41963
785	27144	41924
786	27180	41892
787	27190	41821
788	27224	41786
789	27257	41748
790	27292	41715
791	27328	41682
792	27368	41657
793	27409	41632
794	27435	41585
795	27468	41548
796	27483	41484
797	27519	41452
798	27570	41441
799	27608	41412
800	27616	41339
801	27649	41301
802	27688	41274
803	27734	41257
804	27772	41227
805	27809	41196
806	27843	41162
807	27880	41131
808	27921	41105
809	27960	41078
810	27994	41041
811	28028	41007
812	28062	40972
813	28097	40937
814	28130	40901
815	28164	40865
816	28197	40829
817	28229	40791
818	28264	40757
819	28301	40726
820	28334	40689
821	28343	40618
822	28376	40581
823	28423	40566
824	28459	40533
